id,GS1,GS2,GS3,GS4,GS5,GS6,GS7,GS8,GS9,GS10,GSH_mean,GSL_mean,Mean_abundance,log2fc,Pvalue,FDR
K00009,6.31e-06,2.16e-06,6.93e-06,3.1e-05,1.37e-05,4.08e-05,3.06e-05,3.72e-05,2.82e-05,5.03e-05,1.202e-05,3.742e-05,2.472e-05,1.6383726625296,0.0317460317460317,0.135276304290389
K00015,1.58e-05,1.27e-05,1.71e-05,2.11e-05,1.59e-05,5.41e-05,2.75e-05,2.7e-05,5.82e-05,4.74e-05,1.652e-05,4.284e-05,2.968e-05,1.37474479333081,0.00793650793650794,0.0907652866415753
K00027,3e-05,4.19e-05,2.1e-05,5.75e-05,6.39e-06,8.63e-05,5.78e-05,0.000107529,9.53e-05,8.99e-05,3.1358e-05,8.73658e-05,5.93619e-05,1.47823508849614,0.00793650793650794,0.0907652866415753
K00029,0.00091696,0.000796719,0.000780282,0.000582937,0.000682732,0.000530689,0.000561984,0.000423691,0.000547374,0.000570037,0.000751926,0.000526755,0.0006393405,-0.513458584303534,0.00793650793650794,0.0907652866415753
K00033,0.000176365,0.000150806,0.000200942,0.000271634,0.000189233,0.000280972,0.000373652,0.000463902,0.000366478,0.000304275,0.000197796,0.0003578558,0.0002778259,0.855365111555996,0.00793650793650794,0.0907652866415753
K00034,1.78e-05,2.13e-05,5.31e-05,4.4e-05,2.71e-05,5.41e-05,0.000124767,0.000147396,0.000137102,7.8e-05,3.266e-05,0.000108273,7.04665e-05,1.72907682742782,0.00793650793650794,0.0907652866415753
K00036,0.000409238,0.000379237,0.000418675,0.000579028,0.000477817,0.000639096,0.000649522,0.000733094,0.000549399,0.000562845,0.000452799,0.0006267912,0.0005397951,0.469114152853674,0.0317460317460317,0.135276304290389
K00040,4.75e-05,6.15e-05,7.44e-05,8.29e-05,9.33e-05,0.000120824,9.95e-05,0.000107192,9.03e-05,0.000111671,7.192e-05,0.0001058974,8.89087e-05,0.558202242655587,0.0158730158730159,0.0994828565450034
K00050,0.000143523,0.000107751,0.000178502,8.23e-05,0.000208,6.37e-05,8.49e-05,8.07e-05,7.61e-05,6.79e-05,0.0001440152,7.466e-05,0.0001093376,-0.947813674353835,0.0158730158730159,0.0994828565450034
K00053,0.00026786,0.000253133,0.00027665,0.000294348,0.000290889,0.000378548,0.00031036,0.000297756,0.000320256,0.000297503,0.000276576,0.0003208846,0.0002987303,0.214378581538684,0.00793650793650794,0.0907652866415753
K00075,0.000183174,0.000163489,0.000191346,0.000169082,0.000214816,0.00022018,0.000222606,0.000300833,0.000229373,0.000195285,0.0001843814,0.0002336554,0.0002090184,0.34168925252432,0.0158730158730159,0.0994828565450034
K00082,6.13e-07,8.9e-07,3.08e-06,4.54e-06,1.51e-06,3.27e-06,4.1e-05,7.34e-05,9.4e-06,9.73e-06,2.1266e-06,2.736e-05,1.47433e-05,3.68544762810093,0.0158730158730159,0.0994828565450034
K00087,1.74e-07,2.02e-07,1.62e-07,4.6e-07,0,1.6e-06,5.59e-07,2.32e-06,6.84e-07,1.36e-06,1.996e-07,1.3046e-06,7.521e-07,2.70842390784604,0.00793650793650794,0.0907652866415753
K00090,0.000262595,8.71e-05,8.7e-05,5.79e-05,0.000166248,4.43e-05,4.39e-05,4.47e-05,2.6e-05,4.89e-05,0.0001321686,4.156e-05,8.68643e-05,-1.66911190943477,0.00793650793650794,0.0907652866415753
K00103,3.16e-07,1.4e-06,7.34e-07,1.1e-06,3.3e-07,1.57e-06,1.25e-05,9.08e-06,2.01e-06,3.92e-06,7.76e-07,5.816e-06,3.296e-06,2.90589871173247,0.00793650793650794,0.0907652866415753
K00104,0.00020008,0.000191011,0.000205925,0.000162089,0.000183482,0.000229985,0.000230688,0.000261943,0.000222515,0.000272453,0.0001885174,0.0002435168,0.0002160171,0.369323616746783,0.00793650793650794,0.0907652866415753
K00121,0.000366856,0.000426162,0.000359822,0.000448895,0.000376564,0.000334612,0.000359226,0.00031993,0.000347547,0.000313584,0.0003956598,0.0003349798,0.0003653198,-0.240186390834403,0.00793650793650794,0.0907652866415753
K00129,2.03e-07,0,9.42e-08,0,0,1.86e-07,1.95e-06,3.15e-06,3.99e-07,4.32e-07,5.944e-08,1.2234e-06,6.4142e-07,4.36331825508652,0.0200081852916062,0.123538479870994
K00132,2.67e-07,0,2.48e-07,7.84e-07,0,2.12e-06,4.57e-07,2.37e-06,1.92e-06,1.01e-06,2.598e-07,1.5754e-06,9.176e-07,2.60024484493572,0.0211766578543166,0.129789903018722
K00133,0.000238496,0.000239935,0.000290926,0.000315447,0.000293908,0.000331688,0.000324286,0.000344355,0.000404535,0.000340755,0.0002757424,0.0003491238,0.0003124331,0.34041758684991,0.00793650793650794,0.0907652866415753
K00134,0.000347312,0.000408711,0.000413312,0.000541148,0.000399106,0.000658406,0.000560561,0.000496706,0.000587717,0.000513317,0.0004219178,0.0005633414,0.0004926296,0.417047545525374,0.0317460317460317,0.135276304290389
K00156,0.000189642,0.000115089,0.000157695,0.00018628,0.000201301,0.00023695,0.000338977,0.000434333,0.000345415,0.000273921,0.0001700014,0.0003259192,0.0002479603,0.938967716855112,0.00793650793650794,0.0907652866415753
K00158,4.25e-07,1.12e-07,1.04e-06,2.89e-06,7.74e-07,4.69e-06,6.37e-06,1.13e-05,4.55e-06,4.97e-06,1.0482e-06,6.376e-06,3.7121e-06,2.60473761523992,0.00793650793650794,0.0907652866415753
K00164,0.000480083,0.000470267,0.000555489,0.000733684,0.000566175,0.000907053,0.00077438,0.000759783,0.000843783,0.0007691,0.0005611396,0.0008108198,0.0006859797,0.531021591094679,0.00793650793650794,0.0907652866415753
K00169,0,4.64e-07,8e-07,1.77e-06,2.22e-07,2.43e-06,1.4e-06,1.7e-05,4e-06,2.06e-06,6.512e-07,5.378e-06,3.0146e-06,3.04589715049399,0.0158730158730159,0.0994828565450034
K00170,2.78e-07,4.04e-07,1.01e-06,1.03e-06,0,1.72e-06,1.71e-06,1.06e-05,4.62e-06,2.19e-06,5.444e-07,4.168e-06,2.3562e-06,2.93661630566188,0.00793650793650794,0.0907652866415753
